task_uid,grade,level,theme_id,solution_style,status,current_stage,error_code,provider,model,llm_calls,fast_path_used,fallback_to_two_call,audit_executed,structured_json_used,base_attempts,aux_attempts,has_aux,aux_reason,aux_status,aux_fail_codes,soft_warnings,base_ops_count,aux_ops_count,base_points_count,aux_points_count,svg_bytes_base,svg_bytes_aux,total_latency_ms,cost_usd,prompt_tokens,completion_tokens
GEN-L123-w2_70_s6-f0552dc8f0301ece,11,1,G11_T20,coordinate,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,22,0,8,0,0,0,5038.5,0.00132787,2001,716
f1f67be4dd40e2f7f37f8f2b81d25c724dd96fcaac79aaf54dd544e74d6ec8e8,9,3,G9_T17,trig,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,11,0,5,0,3448,0,6525.3,0.00222003,5619,639
f5e4034eb1f988c01ac4cb5a5e33661c5a6ac8ad0daa50859ab5d270b8c3e326,7,3,G7_T12,trig,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,8,0,5,0,2233,0,143619.0,0.00295641,7613,819
GEN-L123-w2_8_s1-e18733f19c805944,10,2,G10_T17,coordinate,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,11,0,0,0,0,0,3997.6,0.00109501,2043,494
GEN-L123-par2_s4-d4c60795afb2562b,10,3,G10_T16,complex,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-flash",4,0,0,0,0,1,3,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION"", ""INVALID_REFERENCE""]}",,11,0,8,0,4500,0,341372.0,0.00674213,16509,2077
GEN-fill_0444,7,3,G7_T17,coordinate,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,13,0,6,0,2799,0,126965.1,0.00355557,7791,1320
GEN-L123-w2_103_s1-5c7abc11ff86454d,8,3,G8_T18,complex,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,17,0,7,0,4625,0,130475.5,0.00373136,8438,1321
c2d09619fe180a2337ec944a1207a2e3112876fbe8599e9c6fff6cded4de0f78,9,2,G9_T16,coordinate,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,11,0,5,0,2703,0,6739.0,0.00235667,6011,667
38c101f4d8a4914d6f073d64645a7d5781b497077e0aba3fd919756ad082e52d,11,3,G11_T18,coordinate,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,13,0,7,0,3349,0,6854.1,0.00244594,6472,635
GEN-L123-w2_104_s4-2a7163b78a133f1f,11,2,G11_T19,complex,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,11,0,8,0,0,0,4719.5,0.00123359,2047,619
GEN-L123-w2_97_s5-5ecda2e2c22c134b,10,3,G10_T18,complex,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,1,2,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""]}",,10,0,6,0,2754,0,120284.4,0.01040981,11393,6667
GEN-fill_0550,8,3,G8_T17,coordinate,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,13,0,5,0,2992,0,6454.3,0.00212288,5414,601
0a74a675942e63d4f03c1cbf993f2701155f587907de9f95973d37e682f0d4aa,11,3,G11_T18,coordinate,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,17,0,6,0,3708,0,137508.5,0.00408259,8977,1508
88d24ac8f52514ce261a8cc48aba74c360fa60c62c3b34c270e0588ad037f867,10,4,G10_T16,coordinate,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-pro",5,0,0,0,0,4,1,0,,AUX_NOT_NEEDED,,,16,0,6,0,4011,0,302017.6,0.00814462,13816,4013
