id,grade,level,solution_len,topic,task_text
5-B3-26-L6-g,5,6,87,"Дроби, доли, проценты",Смешали $17$ г раствора с концентрацией $22\%$ и $17$ г раствора с концентрацией $8\%$. Найдите концентрацию полученной смеси.
6-D2-1-L6-g678,6,6,87,Уравнения и текстовые задачи,"Первая труба наполняет бак за $6$ ч, вторая — за $12$ ч. За сколько часов наполнят бак обе трубы вместе?"
7-G3-1-L6-g678,7,6,87,Логика и инварианты,В кучке $10$ камней. Двое по очереди берут $1$ или $2$ камня. Кто возьмёт последний — выигрывает. Кто выигрывает при правильной игре?
7-G3-3-L6-g678,7,6,87,Логика и инварианты,В кучке $20$ камней. Двое по очереди берут $1$ или $2$ камня. Кто возьмёт последний — выигрывает. Кто выигрывает при правильной игре?
8-B1-2-L6-g678,8,6,87,Неравенства и преобразования,Смешали $20$ г раствора с концентрацией $6\%$ и $35$ г раствора с концентрацией $39\%$. Найдите концентрацию полученной смеси.
8-G3-5-L6-g678,8,6,87,"Комбинаторика, логика, инварианты",В кучке $25$ камней. Двое по очереди берут $1$ или $2$ камня. Кто возьмёт последний — выигрывает. Кто выигрывает при правильной игре?
10-A3-1-L6-gh3,10,6,88,Показательные и логарифмические выражения,"Продолжите последовательность, указав $9$-й и $10$-й члены: $4, 8, 12, 16, 20, 24, 28, 32, …$"
10-A3-2-L6-g911,10,6,88,Показательные и логарифмические выражения,"Продолжите последовательность, указав $9$-й и $10$-й члены: $6, 16, 18, 32, 30, 48, 42, 64, …$"
10-A3-4-L6-g911,10,6,88,Показательные и логарифмические выражения,"Продолжите последовательность, указав $9$-й и $10$-й члены: $3, 14, 9, 28, 15, 42, 21, 56, …$"
10-B1-4-L6-g911,10,6,88,Тригонометрия,Смешали $60$ г раствора с концентрацией $38\%$ и $15$ г раствора с концентрацией $33\%$. Найдите концентрацию полученной смеси.
10-B2-4-L6-g911,10,6,88,Тригонометрия,Смешали $12$ г раствора с концентрацией $22\%$ и $36$ г раствора с концентрацией $18\%$. Найдите концентрацию полученной смеси.
10-B3-3-L6-g911,10,6,88,Тригонометрия,Смешали $59$ г раствора с концентрацией $20\%$ и $17$ г раствора с концентрацией $20\%$. Найдите концентрацию полученной смеси.
11-A3-3-L6-gh3,11,6,88,"Многочлены, последовательности, функциональные уравнения","Продолжите последовательность, указав $9$-й и $10$-й члены: $6, 18, 18, 36, 30, 54, 42, 72, …$"
11-B2-6-L6-gf,11,6,88,Тригонометрия и смешанные уравнения,Смешали $28$ г раствора с концентрацией $19\%$ и $20$ г раствора с концентрацией $19\%$. Найдите концентрацию полученной смеси.
11-B2-7-L6-gf,11,6,88,Тригонометрия и смешанные уравнения,Смешали $40$ г раствора с концентрацией $38\%$ и $32$ г раствора с концентрацией $29\%$. Найдите концентрацию полученной смеси.
5-A2-2-L6-g5,5,6,88,Числа и делимость,"Сколько натуральных чисел, не превосходящих $209$, взаимно простых с $209$?"
5-A3-28-L6-g,5,6,88,Числа и делимость,"Продолжите последовательность, указав $9$-й и $10$-й члены: $4, 4, 12, 8, 20, 12, 28, 16, …$"
5-B1-1-L6-g5,5,6,88,"Дроби, доли, проценты",Смешали $36$ г раствора с концентрацией $15\%$ и $18$ г раствора с концентрацией $24\%$. Найдите концентрацию полученной смеси.
5-B1-2-L6-g5,5,6,88,"Дроби, доли, проценты",Смешали $18$ г раствора с концентрацией $38\%$ и $23$ г раствора с концентрацией $38\%$. Найдите концентрацию полученной смеси.
5-B1-4-L6-g5,5,6,88,"Дроби, доли, проценты",Смешали $21$ г раствора с концентрацией $27\%$ и $21$ г раствора с концентрацией $21\%$. Найдите концентрацию полученной смеси.
6-A3-1-L6-g678,6,6,88,"Числа, делимость, НОД/НОК","Продолжите последовательность, указав $9$-й и $10$-й члены: $9, 14, 27, 28, 45, 42, 63, 56, …$"
6-A3-3-L6-g678,6,6,88,"Числа, делимость, НОД/НОК","Найдите сумму первых $8$ членов геометрической прогрессии: $4, 12, 36, 108, 324, …$"
6-B1-4-L6-g678,6,6,88,"Дроби, отношения, проценты",Смешали $22$ г раствора с концентрацией $37\%$ и $35$ г раствора с концентрацией $37\%$. Найдите концентрацию полученной смеси.
6-B2-2-L6-g678,6,6,88,"Дроби, отношения, проценты",Смешали $28$ г раствора с концентрацией $32\%$ и $42$ г раствора с концентрацией $17\%$. Найдите концентрацию полученной смеси.
7-A2-2-L6-gh2,7,6,88,"Выражения, степени, многочлены","Сколько натуральных чисел, не превосходящих $299$, взаимно простых с $299$?"
7-A3-1-L6-gh2,7,6,88,"Выражения, степени, многочлены","Продолжите последовательность, указав $9$-й и $10$-й члены: $3, 4, 9, 8, 15, 12, 21, 16, …$"
7-A3-2-L6-gh2,7,6,88,"Выражения, степени, многочлены","Продолжите последовательность, указав $9$-й и $10$-й члены: $2, 18, 6, 36, 10, 54, 14, 72, …$"
7-B1-4-L6-g678,7,6,88,Линейные уравнения и системы,Смешали $17$ г раствора с концентрацией $37\%$ и $25$ г раствора с концентрацией $37\%$. Найдите концентрацию полученной смеси.
7-B1-5-L6-g678,7,6,88,Линейные уравнения и системы,Смешали $41$ г раствора с концентрацией $32\%$ и $18$ г раствора с концентрацией $32\%$. Найдите концентрацию полученной смеси.
7-B2-2-L6-g678,7,6,88,Линейные уравнения и системы,Смешали $48$ г раствора с концентрацией $14\%$ и $30$ г раствора с концентрацией $40\%$. Найдите концентрацию полученной смеси.
7-B2-3-L6-g678,7,6,88,Линейные уравнения и системы,Смешали $25$ г раствора с концентрацией $37\%$ и $45$ г раствора с концентрацией $37\%$. Найдите концентрацию полученной смеси.
7-B3-2-L6-g678,7,6,88,Линейные уравнения и системы,Смешали $27$ г раствора с концентрацией $30\%$ и $13$ г раствора с концентрацией $30\%$. Найдите концентрацию полученной смеси.
7-C3-1-L6-g678,7,6,88,Функции и графики,"Прямоугольник разрезали на $4\times 4$ равных квадратиков. Каким наименьшим числом прямолинейных разрезов это можно сделать, если складывать нельзя?"
7-C3-3-L6-g678,7,6,88,Функции и графики,"Прямоугольник разрезали на $5\times 5$ равных квадратиков. Каким наименьшим числом прямолинейных разрезов это можно сделать, если складывать нельзя?"
7-D2-1-L6-g678,7,6,88,Геометрия треугольников и углов,"Двое рабочих вместе выполняют работу за $10$ ч, а первый — за $20$ ч. За сколько часов выполнит работу второй?"
7-D2-3-L6-g678,7,6,88,Геометрия треугольников и углов,"Первая труба наполняет бак за $2$ ч, вторая — за $3$ ч. За сколько часов наполнят бак обе трубы вместе?"
7-F3-2-L6-g678,7,6,88,Комбинаторика и графы,"В ящике $4$ цветов. Какое наименьшее число шаров вытащить, чтобы заведомо было $8$ одного цвета?"
7-F3-3-L6-g678,7,6,88,Комбинаторика и графы,"В ящике $4$ цветов. Какое наименьшее число шаров вытащить, чтобы заведомо было $6$ одного цвета?"
8-B3-3-L6-g678,8,6,88,Неравенства и преобразования,Смешали $22$ г раствора с концентрацией $34\%$ и $14$ г раствора с концентрацией $16\%$. Найдите концентрацию полученной смеси.
8-F3-5-L6-g678,8,6,88,Теория чисел: остатки и диофантовы,"В ящике $3$ цветов. Какое наименьшее число шаров вытащить, чтобы заведомо было $8$ одного цвета?"
9-B3-4-L6-g911,9,6,88,"Системы, модули, радикалы, неравенства",Смешали $37$ г раствора с концентрацией $32\%$ и $40$ г раствора с концентрацией $32\%$. Найдите концентрацию полученной смеси.
10-B1-1-L6-g911,10,6,89,Тригонометрия,Смешали $58$ г раствора с концентрацией $19\%$ и $48$ г раствора с концентрацией $19\%$. Найдите концентрацию полученной смеси.
5-D2-27-L6-g,5,6,89,Текстовые задачи,"Первая труба наполняет бак за $12$ ч, вторая — за $8$ ч. За сколько часов наполнят бак обе трубы вместе?"
8-D2-3-L6-g678,8,6,89,Функции и графики,"Первая труба наполняет бак за $24$ ч, вторая — за $24$ ч. За сколько часов наполнят бак обе трубы вместе?"
9-C3-2-L6-gstub,9,6,89,"Функции, последовательности и олимпиадные конструкции","Прямоугольник разрезали на $6\times 6$ равных квадратиков. Каким наименьшим числом прямолинейных разрезов это можно сделать, если складывать нельзя?"
11-E3-3-L6-g911,11,6,90,"Стереометрия, координаты и векторы",На столе $7$ монет орлом. За ход переворачивают $2$ монеты. Можно ли все положить решкой?
7-E3-5-L6-g678,7,6,90,Делимость и остатки,На столе $9$ монет орлом. За ход переворачивают $2$ монеты. Можно ли все положить решкой?
7-A1-3-L6-g678,7,6,92,"Выражения, степени, многочлены",Найдите наибольший общий делитель чисел $3^{5}-1$ и $3^{6}-1$.
5-A1-3-L6-g5,5,6,93,Числа и делимость,Найдите наибольший общий делитель чисел $5^{9}-1$ и $5^{26}-1$.
10-D1-1-L6-g911,10,6,94,Стереометрия и векторы,Найдите наибольший общий делитель чисел $2^{26}-1$ и $2^{29}-1$.
5-A2-5-L6-g5,5,6,94,Числа и делимость,Найдите наибольший общий делитель чисел $5^{11}-1$ и $5^{16}-1$.
5-D1-3-L6-g5,5,6,94,Текстовые задачи,Найдите наибольший общий делитель чисел $3^{10}-1$ и $3^{12}-1$.
7-D1-5-L6-g678,7,6,94,Геометрия треугольников и углов,Найдите наибольший общий делитель чисел $2^{22}-1$ и $2^{25}-1$.
8-D3-3-L6-g678,8,6,94,Функции и графики,Найдите наибольший общий делитель чисел $7^{13}-1$ и $7^{16}-1$.
8-E1-3-L6-g678,8,6,94,Геометрия: подобие и окружность,Найдите наибольший общий делитель чисел $3^{28}-1$ и $3^{29}-1$.
11-E3-2-L6-g911,11,6,95,"Стереометрия, координаты и векторы",Может ли произведение $7$ последовательных натуральных чисел быть нечётным?
10-B2-3-L6-g911,10,6,96,Тригонометрия,"Цена товара составляла $250$ руб. Сначала её повысили на $20\%$, а затем снизили на $35\%$. Какой стала цена?"
10-E3-1-L6-g911,10,6,96,Теория чисел старшего уровня,Может ли произведение $11$ последовательных натуральных чисел быть нечётным?
5-B3-27-L6-g,5,6,96,"Дроби, доли, проценты","Цена товара составляла $400$ руб. Сначала её повысили на $25\%$, а затем снизили на $34\%$. Какой стала цена?"
5-E3-30-L6-g,5,6,96,Комбинаторика и логика,Может ли произведение $13$ последовательных натуральных чисел быть нечётным?
6-B3-2-L6-g678,6,6,96,"Дроби, отношения, проценты","Цена товара составляла $400$ руб. Сначала её повысили на $10\%$, а затем снизили на $30\%$. Какой стала цена?"
8-B2-3-L6-g678,8,6,96,Неравенства и преобразования,"Цена товара составляла $500$ руб. Сначала её повысили на $15\%$, а затем снизили на $20\%$. Какой стала цена?"
8-B3-5-L6-g678,8,6,96,Неравенства и преобразования,"Цена товара составляла $800$ руб. Сначала её повысили на $25\%$, а затем снизили на $33\%$. Какой стала цена?"
11-B1-5-L6-gh6,11,6,97,Тригонометрия и смешанные уравнения,"Цена товара составляла $1000$ руб. Сначала её повысили на $20\%$, а затем снизили на $17\%$. Какой стала цена?"
5-B3-29-L6-g,5,6,97,"Дроби, доли, проценты","Цена товара составляла $850$ руб. Сначала её повысили на $36\%$, а затем снизили на $25\%$. Какой стала цена?"
7-B2-1-L6-g678,7,6,97,Линейные уравнения и системы,"Цена товара составляла $240$ руб. Сначала её повысили на $25\%$, а затем снизили на $13\%$. Какой стала цена?"
7-B3-2-L6-gh2,7,6,97,Линейные уравнения и системы,"Цена товара составляла $1000$ руб. Сначала её повысили на $15\%$, а затем снизили на $36\%$. Какой стала цена?"
5-B3-30-L6-g,5,6,98,"Дроби, доли, проценты","Цена товара составляла $960$ руб. Сначала её повысили на $25\%$, а затем снизили на $5\%$. Какой стала цена?"
6-B1-2-L6-g678,6,6,98,"Дроби, отношения, проценты","Цена товара составляла $1500$ руб. Сначала её повысили на $32\%$, а затем снизили на $40\%$. Какой стала цена?"
9-B3-1-L6-gh3,9,6,98,"Системы, модули, радикалы, неравенства","Цена товара составляла $1352$ руб. Сначала её повысили на $25\%$, а затем снизили на $30\%$. Какой стала цена?"
5-B2-30-L6-g,5,6,99,"Дроби, доли, проценты","Цена товара составляла $1375$ руб. Сначала её повысили на $28\%$, а затем снизили на $20\%$. Какой стала цена?"
9-B2-1-L6-g911,9,6,99,"Системы, модули, радикалы, неравенства","Цена товара составляла $1440$ руб. Сначала её повысили на $25\%$, а затем снизили на $15\%$. Какой стала цена?"
10-E3-3-L6-g911,10,6,101,Теория чисел старшего уровня,Чётно или нечётно произведение $5\cdot3\cdot(a+b)$?
6-E3-2-L6-g678,6,6,101,"Геометрия, комбинаторика и логика",Чётно или нечётно произведение $9\cdot6\cdot(a+b)$?
7-E3-1-L6-gh2,7,6,101,Делимость и остатки,Чётно или нечётно произведение $6\cdot3\cdot(a+b)$?
8-E3-4-L6-g678,8,6,101,Геометрия: подобие и окружность,Чётно или нечётно произведение $2\cdot7\cdot(a+b)$?
8-E3-5-L6-g678,8,6,101,Геометрия: подобие и окружность,Чётно или нечётно произведение $2\cdot5\cdot(a+b)$?
10-A1-6-L6-gf,10,6,103,Показательные и логарифмические выражения,Найдите сумму всех натуральных делителей числа $1323$.
10-A2-6-L6-gf,10,6,103,Показательные и логарифмические выражения,Найдите сумму всех натуральных делителей числа $500$.
6-D3-3-L6-g678,6,6,103,Уравнения и текстовые задачи,Найдите сумму всех натуральных делителей числа $1372$.
6-A2-1-L6-g678,6,6,104,"Числа, делимость, НОД/НОК",Найдите сумму всех натуральных делителей числа $3375$.
7-A2-3-L6-g678,7,6,104,"Выражения, степени, многочлены",Найдите сумму всех натуральных делителей числа $2744$.
10-D3-5-L6-g911,10,6,106,Стереометрия и векторы,Найдите сумму всех натуральных делителей числа $676$.
10-G1-4-L6-gst2,10,6,107,"Логика, множества, функции и отображения","На доске написаны числа $6$ и $7$. За ход разрешается заменить пару $(x,y)$ на $(x+y, y)$ или $(x, x-y)$. Можно ли получить пару с равными числами?"
11-E1-5-L6-g911,11,6,107,"Стереометрия, координаты и векторы",Найдите сумму всех натуральных делителей числа $968$.
11-F3-3-L6-g911,11,6,107,Теория чисел и диофантовы задачи,"Среди любых $6$ натуральных чисел найдутся два, разность которых делится на $5$. Верно ли?"
5-A1-5-L6-g5,5,6,107,Числа и делимость,Найдите сумму всех натуральных делителей числа $1352$.
7-F3-4-L6-g678,7,6,107,Комбинаторика и графы,"Среди любых $8$ натуральных чисел найдутся два, разность которых делится на $7$. Верно ли?"
7-G1-1-L6-g678,7,6,107,Логика и инварианты,"На доске написаны числа $4$ и $5$. За ход разрешается заменить пару $(x,y)$ на $(x+y, y)$ или $(x, x-y)$. Можно ли получить пару с равными числами?"
8-G1-4-L6-g678,8,6,107,"Комбинаторика, логика, инварианты","На доске написаны числа $8$ и $6$. За ход разрешается заменить пару $(x,y)$ на $(x+y, y)$ или $(x, x-y)$. Можно ли получить пару с равными числами?"
9-G1-1-L6-gstub,9,6,107,"Логика, инварианты, стратегии","На доске написаны числа $6$ и $3$. За ход разрешается заменить пару $(x,y)$ на $(x+y, y)$ или $(x, x-y)$. Можно ли получить пару с равными числами?"
11-F2-2-L6-g911,11,6,108,Теория чисел и диофантовы задачи,"Может ли существовать граф на $3$ вершинах, в котором все степени вершин нечётны и равны?"
6-A1-4-L6-g678,6,6,108,"Числа, делимость, НОД/НОК",Найдите сумму всех натуральных делителей числа $7803$.
6-D2-2-L6-gh1,6,6,108,Уравнения и текстовые задачи,"Два насоса, работая одновременно, заполняют бассейн за $2$ часов. Первый насос单独 заполняет за $8$ часов. За сколько часов заполнит бассейн второй?"
7-F2-1-L6-gh2,7,6,108,Комбинаторика и графы,"Может ли существовать граф на $9$ вершинах, в котором все степени вершин нечётны и равны?"
8-F2-4-L6-g678,8,6,108,Теория чисел: остатки и диофантовы,"Может ли существовать граф на $5$ вершинах, в котором все степени вершин нечётны и равны?"
8-F3-1-L6-g678,8,6,108,Теория чисел: остатки и диофантовы,"Среди любых $10$ натуральных чисел найдутся два, разность которых делится на $9$. Верно ли?"
6-D1-5-L6-g678,6,6,109,Уравнения и текстовые задачи,Найдите сумму всех натуральных делителей числа $11979$.
7-A1-5-L6-g678,7,6,109,"Выражения, степени, многочлены",Найдите сумму всех натуральных делителей числа $65219$.
8-A1-2-L6-g678,8,6,110,Квадратные уравнения и теорема Виета,Найдите сумму всех натуральных делителей числа $107653$.
11-E1-2-L6-g911,11,6,112,"Стереометрия, координаты и векторы",Найдите сумму всех натуральных делителей числа $1685159$.
6-D2-1-L6-gh1,6,6,112,Уравнения и текстовые задачи,"Два насоса, работая одновременно, заполняют бассейн за $5$ часов. Первый насос单独 заполняет за $20$ часов. За сколько часов заполнит бассейн второй?"
8-A1-4-L6-g678,8,6,112,Квадратные уравнения и теорема Виета,Решите уравнение: $x^2 - 7x + 12 = 0$.
11-C1-3-L6-gh3,11,6,114,Неравенства и оценки,Найдите сумму всех натуральных делителей числа $265837$.
6-E1-2-L6-g678,6,6,114,Олимпиадная задача,"На доске по кругу записаны 5 различных натуральных чисел. Каждое из них Петя поделил на следующее за ним по часовой стрелке, а затем 5 полученных чисел (не обязательно целых) выписал себе на бумажку. Может ли сумма 5 чисел на бумажке оказат"
5-E2-28-L6-g,5,6,117,Комбинаторика и логика,"На острове $8$ жителей, поровну рыцарей и лжецов. Каждый сказал: «Среди моих соседей слева и справа хотя бы один лжец». Сколько рыцарей?"
7-E2-3-L6-g678,7,6,117,Делимость и остатки,"На острове $6$ жителей, поровну рыцарей и лжецов. Каждый сказал: «Среди моих соседей слева и справа хотя бы один лжец». Сколько рыцарей?"
10-E2-3-L6-g911,10,6,121,Теория чисел старшего уровня,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $9$ жителей сказал: «Среди остальных $8$ ровно $4$ рыцарей». Сколько рыцарей на острове?
10-E2-5-L6-g911,10,6,121,Теория чисел старшего уровня,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $7$ жителей сказал: «Среди остальных $6$ ровно $1$ рыцарей». Сколько рыцарей на острове?
11-E2-1-L6-g911,11,6,121,"Стереометрия, координаты и векторы",На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $7$ жителей сказал: «Среди остальных $6$ ровно $2$ рыцарей». Сколько рыцарей на острове?
11-E2-3-L6-g911,11,6,121,"Стереометрия, координаты и векторы",На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $13$ жителей сказал: «Среди остальных $12$ ровно $8$ рыцарей». Сколько рыцарей на острове?
11-E2-4-L6-g911,11,6,121,"Стереометрия, координаты и векторы",На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $13$ жителей сказал: «Среди остальных $12$ ровно $6$ рыцарей». Сколько рыцарей на острове?
5-E2-26-L6-g,5,6,121,Комбинаторика и логика,На острове $9$ жителей. Каждый сказал: «Все остальные — лжецы». Сколько рыцарей на острове?
5-E2-27-L6-g,5,6,121,Комбинаторика и логика,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $11$ жителей сказал: «Среди остальных $10$ ровно $7$ рыцарей». Сколько рыцарей на острове?
5-E2-29-L6-g,5,6,121,Комбинаторика и логика,На острове $5$ жителей. Каждый сказал: «Все остальные — лжецы». Сколько рыцарей на острове?
5-E2-30-L6-g,5,6,121,Комбинаторика и логика,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $7$ жителей сказал: «Среди остальных $6$ ровно $4$ рыцарей». Сколько рыцарей на острове?
7-E2-2-L6-g678,7,6,121,Делимость и остатки,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $7$ жителей сказал: «Среди остальных $6$ ровно $6$ рыцарей». Сколько рыцарей на острове?
8-E2-1-L6-g678,8,6,121,Геометрия: подобие и окружность,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $11$ жителей сказал: «Среди остальных $10$ ровно $8$ рыцарей». Сколько рыцарей на острове?
8-E2-4-L6-g678,8,6,121,Геометрия: подобие и окружность,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $9$ жителей сказал: «Среди остальных $8$ ровно $7$ рыцарей». Сколько рыцарей на острове?
9-E2-1-L6-g911,9,6,121,Теория чисел,На острове $7$ жителей. Каждый сказал: «Все остальные — лжецы». Сколько рыцарей на острове?
9-E2-2-L6-g911,9,6,121,Теория чисел,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $9$ жителей сказал: «Среди остальных $8$ ровно $5$ рыцарей». Сколько рыцарей на острове?
11-E2-5-L6-g911,11,6,123,"Стереометрия, координаты и векторы",На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $13$ жителей сказал: «Среди остальных $12$ ровно $9$ рыцарей». Сколько рыцарей на острове?
11-E3-1-L6-g911,11,6,123,"Стереометрия, координаты и векторы","На столе $9$ монет орлом вверх. За один ход можно перевернуть любые $2$ монеты. Можно ли добиться, чтобы все лежали решкой вверх?"
6-E3-1-L6-g678,6,6,123,"Геометрия, комбинаторика и логика","На столе $8$ монет орлом вверх. За один ход можно перевернуть любые $2$ монеты. Можно ли добиться, чтобы все лежали решкой вверх?"
8-E2-5-L6-g678,8,6,123,Геометрия: подобие и окружность,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $11$ жителей сказал: «Среди остальных $10$ ровно $9$ рыцарей». Сколько рыцарей на острове?
8-E3-3-L6-g678,8,6,123,Геометрия: подобие и окружность,"На столе $6$ монет орлом вверх. За один ход можно перевернуть любые $2$ монеты. Можно ли добиться, чтобы все лежали решкой вверх?"
5-E3-28-L6-g,5,6,124,Комбинаторика и логика,"На столе $10$ монет орлом вверх. За один ход можно перевернуть любые $2$ монеты. Можно ли добиться, чтобы все лежали решкой вверх?"
7-E1-1-L6-g678,7,6,124,Делимость и остатки,Сколько натуральных делителей числа $216$ делятся на $6$?
8-E3-1-L6-g678,8,6,124,Геометрия: подобие и окружность,"На столе $12$ монет орлом вверх. За один ход можно перевернуть любые $2$ монеты. Можно ли добиться, чтобы все лежали решкой вверх?"
8-G2-3-L6-g678,8,6,124,"Комбинаторика, логика, инварианты",Можно ли покрыть шахматную доску $8\times8$ без одной угловой клетки доминошками $1\times2$?
6-D1-3-L6-g678,6,6,125,Уравнения и текстовые задачи,Сколько натуральных делителей числа $2744$ делятся на $14$?
7-D1-4-L6-g678,7,6,125,Геометрия треугольников и углов,Сколько натуральных делителей числа $1372$ делятся на $14$?
7-E1-3-L6-g678,7,6,125,Делимость и остатки,Сколько натуральных делителей числа $5625$ делятся на $15$?
8-D3-1-L6-g678,8,6,125,Функции и графики,Сколько натуральных делителей числа $784$ делятся на $14$?
10-E2-1-L6-g911,10,6,126,Теория чисел старшего уровня,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $11$ жителей сказал: «Среди остальных $10$ ровно $10$ рыцарей». Сколько рыцарей на острове?
5-D1-1-L6-g5,5,6,126,Текстовые задачи,Сколько натуральных делителей числа $84375$ делятся на $15$?
6-D1-4-L6-g678,6,6,126,Уравнения и текстовые задачи,Сколько натуральных делителей числа $6075$ делятся на $15$?
8-A2-1-L6-g678,8,6,126,Квадратные уравнения и теорема Виета,Сколько натуральных делителей числа $151263$ делятся на $21$?
8-E1-2-L6-g678,8,6,126,Геометрия: подобие и окружность,Сколько натуральных делителей числа $10000$ делятся на $10$?
8-E1-4-L6-g678,8,6,126,Геометрия: подобие и окружность,Сколько натуральных делителей числа $2100875$ делятся на $35$?
8-E2-2-L6-g678,8,6,126,Геометрия: подобие и окружность,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $13$ жителей сказал: «Среди остальных $12$ ровно $12$ рыцарей». Сколько рыцарей на острове?
8-E2-3-L6-g678,8,6,126,Геометрия: подобие и окружность,На острове живут рыцари (всегда говорят правду) и лжецы (всегда лгут). Каждый из $13$ жителей сказал: «Среди остальных $12$ ровно $11$ рыцарей». Сколько рыцарей на острове?
10-B2-1-L6-g911,10,6,128,Тригонометрия,"У Васи было $72$ рублей. Сначала он потратил $\d\frac{2}{8}$ всех денег, а затем $\d\frac{2}{3}$ остатка. Сколько рублей осталось?"
10-B2-2-L6-g911,10,6,128,Тригонометрия,"У Васи было $267$ рублей. Сначала он потратил $\d\frac{2}{4}$ всех денег, а затем $\d\frac{2}{6}$ остатка. Сколько рублей осталось?"
5-A1-4-L6-g5,5,6,128,Числа и делимость,Сколько натуральных делителей числа $395307$ делятся на $33$?
6-E1-5-L6-g678,6,6,128,"Геометрия, комбинаторика и логика",Сколько натуральных делителей числа $228488$ делятся на $26$?
7-D1-1-L6-g678,7,6,128,Геометрия треугольников и углов,Сколько натуральных делителей числа $533871$ делятся на $39$?
8-A1-3-L6-g678,8,6,128,Квадратные уравнения и теорема Виета,Решите уравнение $x^2 - 7x + 12 = 0$.
8-A1-6-L6-gf,8,6,128,Квадратные уравнения и теорема Виета,Решите уравнение $x^2 - 5x + 6 = 0$.
9-D3-3-L6-g911,9,6,128,Геометрия треугольника и окружности,Сколько натуральных делителей числа $9150625$ делятся на $55$?
6-B1-1-L6-g678,6,6,129,"Дроби, отношения, проценты","У Васи было $240$ рублей. Сначала он потратил $\d\frac{1}{6}$ всех денег, а затем $\d\frac{2}{8}$ остатка. Сколько рублей осталось?"
10-D1-2-L6-g911,10,6,133,Стереометрия и векторы,"Известно, что $\operatorname{НОК}(103,61)=6283$. Найдите $\operatorname{НОД}(103,61)$."
6-A2-5-L6-g678,6,6,133,"Числа, делимость, НОД/НОК","Известно, что $\operatorname{НОК}(60,286)=8580$. Найдите $\operatorname{НОД}(60,286)$."
7-A2-4-L6-g678,7,6,133,"Выражения, степени, многочлены","Известно, что $\operatorname{НОК}(65,185)=2405$. Найдите $\operatorname{НОД}(65,185)$."
11-C1-1-L6-g911,11,6,134,Неравенства и оценки,"Известно, что $\operatorname{НОК}(231,80)=18480$. Найдите $\operatorname{НОД}(231,80)$."
5-D3-30-L6-g,5,6,134,Текстовые задачи,"Известно, что $\operatorname{НОК}(141,77)=10857$. Найдите $\operatorname{НОД}(141,77)$."
6-A1-3-L6-g678,6,6,134,"Числа, делимость, НОД/НОК","Известно, что $\operatorname{НОК}(94,220)=10340$. Найдите $\operatorname{НОД}(94,220)$."
6-B3-1-L6-gh1,6,6,134,"Дроби, отношения, проценты","Имеется два сплава. Первый содержит $78\%$ меди, второй — $10\%$ меди. В каком отношении надо взять сплавы, чтобы получить сплав с $44\%$ меди?"
6-B3-2-L6-gh1,6,6,134,"Дроби, отношения, проценты","Имеется два сплава. Первый содержит $89\%$ меди, второй — $10\%$ меди. В каком отношении надо взять сплавы, чтобы получить сплав с $49\%$ меди?"
6-B3-3-L6-gh1,6,6,134,"Дроби, отношения, проценты","Имеется два сплава. Первый содержит $67\%$ меди, второй — $10\%$ меди. В каком отношении надо взять сплавы, чтобы получить сплав с $38\%$ меди?"
6-C1-4-L6-g678,6,6,134,Целые числа и координаты,"Известно, что $\operatorname{НОК}(215,71)=15265$. Найдите $\operatorname{НОД}(215,71)$."
7-A1-1-L6-gh2,7,6,134,"Выражения, степени, многочлены","Известно, что $\operatorname{НОК}(190,69)=13110$. Найдите $\operatorname{НОД}(190,69)$."
7-A1-1-L6-g678,7,6,135,Олимпиадная задача,"Квадрат разрезали на меньший квадрат и четыре прямоугольника так, как показано на рисунке. На нём отмечены периметры трёх из этих прямоугольников: 15 и 17 (и третий). Найдите сторону исходного квадрата."
8-A2-3-L6-g678,8,6,135,Квадратные уравнения и теорема Виета,"Известно, что $\operatorname{НОК}(280,272)=9520$. Найдите $\operatorname{НОД}(280,272)$."
8-E1-5-L6-g678,8,6,135,Геометрия: подобие и окружность,"Известно, что $\operatorname{НОК}(126,141)=5922$. Найдите $\operatorname{НОД}(126,141)$."
5-C1-4-L6-g5,5,6,136,Геометрия и измерения,"Известно, что $\operatorname{НОК}(147,298)=43806$. Найдите $\operatorname{НОД}(147,298)$."
